[(22.986695317799999, 25.516493536799999),
 (2.1194796511399998, 1.2673141782399999),
 (27.3344787208, 25.1516505526),
 (1.23892016657, -0.706939966842),
 (1.64993114482, 1.8613053128099999),
 (1.8838082649400001, 1.99594407573),
 (0.27333030275800002, 1.68137750804),
 (23.615831181299999, 27.124704504299999),
 (15.6455452602, 10.067454635400001),
 (0.80039857418799998, 1.5290878239900001),
 (24.7344377332, 25.564928173599998),
 (26.119805339700001, 24.10239576),
 (27.541860339500001, 24.423780881300001),
 (14.910285169, 9.5590255265300001),
 (14.9486826027, 8.37306444799),
 (25.301742459300002, 25.9395427149),
 (15.6314100303, 11.350892762200001),
 (25.362856391600001, 26.433577328599998),
 (14.877308621099999, 8.1673819396800003),
 (15.01104466, 10.9274681141),
 (13.272742361600001, 9.3448161906199996),
 (23.529119899499999, 24.433330809600001),
 (24.184217437699999, 25.506624177900001),
 (26.334234784700001, 26.219167572900002),
 (25.955219229000001, 24.363685357400001),
 (23.1441590443, 26.371768705800001),
 (2.0208617265000002, -1.6983204624299999),
 (24.489135040099999, 23.316513135000001),
 (23.7557065202, 25.727647531100001),
 (-0.25358155080099998, 0.99480779872500003),
 (2.0491870584899998, 0.353973848531),
 (15.446202109, 8.1354396303400005),
 (0.31906584271299998, -0.25353160178200002),
 (0.249383403231, 0.680345207658),
 (26.276090602, 25.560388195400002),
 (17.018339873999999, 10.244574033999999),
 (13.897919180900001, 9.4773826261899998),
 (16.784450892300001, 10.12244604),
 (0.27962781347100002, 1.1124961872100001),
 (2.67694173834, 0.32339894192200003),
 (0.95229791739799996, 0.42074129210299999),
 (26.137827282, 24.2078260714),
 (0.81401520641799996, 2.22428247701),
 (14.3300496727, 10.184279373400001),
 (0.36654288198099999, 0.74519701882400002),
 (24.843181895200001, 25.7136351917),
 (1.3629697558, 0.44633561988999998),
 (15.916665801900001, 9.5325685804599996),
 (24.695359359200001, 24.453254902800001),
 (-0.57404221000800004, 1.05329933606),
 (0.64308471170199999, 3.7821650205499999),
 (2.90712881981, 1.1681776511699999),
 (25.007116192800002, 24.260308949100001),
 (16.117351086599999, 11.2010764266),
 (2.6213023296800002, 0.092968380366100001),
 (26.7839846412, 25.614882128200001),
 (13.484261629100001, 8.5086820140599997),
 (16.357428687599999, 9.67703999087),
 (0.99741276827100001, 0.13463911597299999),
 (0.44475908293700001, 0.36249399726699999),
 (24.978497237100001, 25.137423761600001),
 (13.59810933, 9.3507577403600006),
 (14.900629304600001, 8.2629174695500005),
 (25.639042010800001, 23.6989785777),
 (14.628563204600001, 9.5442395347200009),
 (2.1349207694299999, 1.7192111111699999),
 (14.8846455063, 9.8449084609199993),
 (14.067367121, 8.2119270117000003),
 (2.8144146493800002, 0.91145065933000002),
 (24.231725164299998, 22.830027040200001),
 (1.19351453752, 0.93620092375800001),
 (0.52499696838300003, 0.39093156902600001),
 (23.976826012, 25.522899422599998),
 (1.44630248641, 3.3162223545399998),
 (16.9177912639, 10.8267512138),
 (16.217181997699999, 10.940736922799999),
 (23.784808230599999, 24.996176412000001),
 (15.748470427199999, 9.6114648320399994),
 (2.6899113103699999, 1.7128063445499999),
 (13.7773223916, 10.452348946100001),
 (0.201041048399, 1.3671772334100001),
 (1.12620883862, 2.87482951922),
 (14.306135189000001, 9.5600701411600006),
 (15.763968389, 8.9183971401599997),
 (1.7835600736199999, -1.3349629456100001),
 (24.7298712433, 25.2528973935),
 (15.958530059199999, 9.9792542799199992),
 (25.327946227000002, 22.8592268638),
 (0.72487134257600006, 0.98643249662499999),
 (23.536710709600001, 25.333539650700001),
 (24.3705312668, 24.130065772199998),
 (-0.423011888138, 1.6535467782),
 (14.2440314342, 10.113507269099999),
 (14.927868588400001, 8.1200201621999994),
 (24.221725987399999, 24.908969991799999),
 (13.7585854113, 11.643009573900001),
 (2.1566570970000001, 0.48038338105200001),
 (24.855947562200001, 24.864291848499999),
 (25.575463732399999, 23.1946147128),
 (15.125647554, 10.2232255496),
 (25.703260279199998, 24.717219246100001),
 (14.782205355, 10.830165575100001),
 (26.074338183599998, 23.714344838799999),
 (23.196994721999999, 22.6277925588),
 (24.6069140048, 25.734669900699998),
 (25.245362719599999, 24.9337305542),
 (26.151246130800001, 24.2984585829),
 (1.8406111626899999, -0.62943615349500004),
 (16.271049169699999, 9.4059570886799992),
 (13.693271538999999, 8.3478965247599994),
 (2.9306077080100001, 0.205445416183),
 (0.082222193346400005, 0.15358184728400001),
 (24.760356494700002, 25.101444027199999),
 (0.76426655963500001, 0.55589931320599995),
 (2.1472499635700002, -0.89750242321700002),
 (1.8289192265000001, 1.2748320527999999),
 (0.105837065583, 0.91837579897699995),
 (0.57769719789600005, 0.129719725185),
 (14.479702533299999, 9.0597459453300004),
 (26.247814413499999, 24.504587324599999),
 (23.434094664500002, 24.7996269842),
 (25.085633963799999, 25.181478159800001),
 (26.025905854000001, 23.952239366499999),
 (14.8246695389, 8.5359498600800006),
 (2.0420379118700001, 1.48380069245),
 (14.5725114451, 9.5134057153900002),
 (16.390336274500001, 11.0872230185),
 (-0.21996145712500001, 3.7354561925400001),
 (15.5051126382, 8.8679828052699996),
 (13.7553639764, 10.250701234999999),
 (23.998269710500001, 26.3951908375),
 (15.9650298275, 10.7323927663),
 (15.116655669, 10.2276177247),
 (15.269503261500001, 8.7412561572800005),
 (0.28291858758600003, -0.0405382395267),
 (1.7471588656199999, -0.012563742925300001),
 (26.525615140599999, 24.018246295200001),
 (24.580361715999999, 25.0764259609),
 (14.3630257272, 9.5366513337899992),
 (24.350375956299999, 23.645980540299998),
 (16.889674810999999, 9.9895337475199995),
 (3.2567955996500002, -0.443310152485),
 (14.698664275900001, 9.6585248536799995),
 (26.0978610676, 23.930312757100001),
 (15.4513338321, 10.882311727599999),
 (-0.97424181655599995, 1.9063536919299999),
 (13.341122263800001, 9.80609507508),
 (26.321558216500001, 25.0024288169),
 (1.22068847822, 1.9523055497499999),
 (14.7195516512, 9.3830466080400008),
 (24.488954417199999, 25.6523443241)]
